Trend,Chi square val,dfThreshold,Parameter,Expected count yes,Actual count yes,Expected count no,Actual count no,Significance value yes,Significance value no
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",7.2643610850693054,11.07,2015,0.12446958981612448,0,87.87553041018387,88,0.12446958981612448,0.00017630253515033266
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",7.2643610850693054,11.07,2016,0.6265912305516266,0,442.37340876944836,443,0.6265912305516266,0.0008875229894499325
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",7.2643610850693054,11.07,2017,1.7326732673267327,1,1223.2673267326732,1224,0.3098161244695898,0.0004388330374924717
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",7.2643610850693054,11.07,2018,2.3833097595473833,0,1682.6166902404525,1685,2.3833097595473833,0.003375792860549035
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",7.2643610850693054,11.07,2019,3.0452616690240455,4,2149.954738330976,2149,0.29932576563342733,0.0004239741722852973
"(1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959)",7.2643610850693054,11.07,2020,2.841584158415842,6,2006.158415841584,2003,3.510573705454168,0.004972484002059149
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",14.213133102973295,11.07,2015,0.2828854314002829,0,87.71711456859971,88,0.2828854314002829,0.0009122982178802037
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",14.213133102973295,11.07,2016,1.424070978526424,0,441.5759290214736,443,1.424070978526424,0.004592592165010253
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",14.213133102973295,11.07,2017,3.937893789378938,7,1221.062106210621,1218,2.3810937893789372,0.00767896603901893
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",14.213133102973295,11.07,2018,5.416613089880417,0,1679.5833869101195,1685,5.416613089880417,0.017468437467364865
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",14.213133102973295,11.07,2019,6.921049247781921,12,2146.078950752218,2141,3.7271430703550745,0.012019940242373437
"(1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969)",14.213133102973295,11.07,2020,6.458145814581458,4,2002.5418541854185,2005,0.9356371037800646,0.0030174055204466098
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",10.726866310515767,11.07,2015,0.7581329561527582,0,87.24186704384725,88,0.7581329561527582,0.006588185222079592
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",10.726866310515767,11.07,2016,3.816510222450817,2,439.1834897775492,441,0.8645881174004479,0.007513281954063431
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",10.726866310515767,11.07,2017,10.553555355535554,9,1214.4464446444645,1216,0.22869394828608675,0.0019873533768051182
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",10.726866310515767,11.07,2018,14.516523080879518,10,1670.4834769191204,1675,1.4052249720173,0.012211423232835346
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",10.726866310515767,11.07,2019,18.54841198405555,30,2134.4515880159447,2123,7.070086010578756,0.06143913913213984
"(1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979)",10.726866310515767,11.07,2020,17.30783078307831,15,1991.6921692169217,1994,0.3077267735094278,0.0026741496530650827
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",9.2593010993351,11.07,2015,1.1994342291371995,0,86.8005657708628,88,1.1994342291371995,0.016574113973216335
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",9.2593010993351,11.07,2016,6.0380609489520385,4,436.961939051048,439,0.6879182682586527,0.00950584492705202
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",9.2593010993351,11.07,2017,16.6966696669667,7,1208.3033303330333,1218,5.631386648098774,0.0778160584928267
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",9.2593010993351,11.07,2018,22.966439501092967,28,1662.033560498907,1657,1.103206759365179,0.015244416176862098
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",9.2593010993351,11.07,2019,29.345248810595347,31,2123.6547511894046,2122,0.09330987501620579,0.0012893816649350701
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989)",9.2593010993351,11.07,2020,27.382538253825384,24,1981.6174617461745,1985,0.41784165268147383,0.005773851542724408
"(1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999)",5.789245697172373,11.07,2015,2.545968882602546,1,85.45403111739745,87,0.9387466603803237,0.027968484982199986
