Name,Count
,718
Anupam Kher,42
Shah Rukh Khan,35
Om Puri,30
Naseeruddin Shah,30
Akshay Kumar,29
Takahiro Sakurai,29
Boman Irani,27
Amitabh Bachchan,27
Paresh Rawal,27
Yuki Kaji,27
